6318,-2206,3763
6282,-2270,3828
6246,-2480,3865
6242,-2596,3802
6220,-2592,3793
6260,-2662,3682
6256,-2552,3770
6362,-2470,3946
6370,-2634,4119
6368,-2748,4267
6362,-2590,4286
6408,-2428,4419
6428,-2398,4752
6422,-2588,4926
6354,-2992,4802
6252,-3254,4507
6216,-3296,4285
6284,-3130,4200
6320,-3100,4512
6354,-3062,4761
6316,-3086,4772
6328,-3168,4560
6178,-3366,4500
6158,-3488,4111
6130,-3314,3840
6154,-3486,3966
6150,-3542,4306
6062,-3588,4419
5946,-3756,4434
6064,-3598,3970
6014,-3656,3700
6022,-3392,3514
6136,-3164,3598
6086,-3146,3628
6082,-3034,3478
6088,-3072,3429
6018,-2826,3274
5984,-2638,2972
5928,-2372,2924
5894,-2128,2861
5760,-2038,2777
5812,-1752,2848
5892,-1604,3031
5920,-1448,3171
5896,-1330,3147
5668,-1138,2943
5292,-880,2657
4698,-792,2387
4120,-886,2090
3912,-1206,1791
4046,-1242,1786
4406,-1222,1910
4990,-1422,2207
5450,-1786,2457
5610,-2344,2548
5646,-2952,2660
5616,-3194,2774
5368,-3784,2867
4944,-4164,2845
4160,-3982,2289
3570,-3358,1781
3166,-2892,1575
2874,-2596,1556
2744,-2396,1649
2456,-2426,1723
2190,-2466,1791
2212,-2588,1827
2214,-2980,1773
2108,-3064,1958
2052,-3326,2094
2218,-3502,2207
2526,-3454,1982
2896,-3342,1915
3144,-3382,1885
3262,-3534,1915
3438,-3232,1833
3458,-3296,1931
3686,-3224,1948
3938,-3300,1898
4362,-3092,2008
4698,-2860,2096
4958,-2638,2116
5138,-2380,2217
5256,-2254,2355
5280,-2100,2389
5166,-1508,2447
5100,-1430,2426
4854,-1202,2308
4502,-824,2322
4066,-574,2418
3816,-282,2611
3578,-10,2734
3460,8,2800
3306,78,2833
2978,62,2926
2664,84,2870
2380,-138,2772
2236,-66,2970
1918,-308,3037
1650,-598,2773
1524,-756,2825
1324,-772,2924
1128,-820,3329
956,-924,3352
868,-1088,3306
750,-1408,3307
602,-1752,3572
356,-2072,3868
342,-2380,4020
448,-2620,3732
672,-2798,3290
718,-2826,3258
838,-2894,3058
1004,-3108,2939
1152,-3190,2757
1332,-3360,2646
1508,-3490,2575
1730,-3552,2474
2022,-3514,2298
2444,-3532,2107
2970,-3510,1889
3224,-3466,1936
3040,-3658,2090
2902,-3856,2238
3096,-3894,2197
3442,-3936,2181
3834,-3784,2187
4212,-3666,2231
4298,-3300,2108
4272,-2790,1933
4248,-2538,1866
4246,-2356,1845
4218,-2030,1870
3978,-1652,1874
3714,-1450,1947
3276,-1136,2054
2764,-914,2181
2350,-872,2312
2140,-996,2350
1988,-1224,2367
1598,-1310,2552
1216,-1542,2818
1002,-1736,3036
830,-2008,3098
746,-2192,3250
606,-2510,3452
554,-2802,3793
522,-2972,4104
