954,-5360,8233
1216,-5556,8113
1526,-5644,8073
2056,-5806,8000
2560,-5820,7863
3214,-5774,7544
3766,-5528,7271
4354,-5192,6761
4730,-4746,6268
5030,-3988,5923
4948,-3114,5441
4598,-2402,5058
4060,-1902,4708
3950,-1776,4545
3502,-1664,4322
3128,-1752,3937
2742,-2002,3590
2364,-2300,3380
2128,-2638,3145
1852,-2890,3126
1428,-2844,3203
944,-2698,3362
696,-2676,3346
570,-2804,3525
412,-3098,3520
302,-3366,3569
136,-3476,3599
-96,-3674,3812
-320,-3950,4018
-480,-4040,4234
-590,-4230,4461
-664,-4506,4778
-790,-4644,4980
-838,-4536,5145
-834,-4580,5073
-914,-4116,4920
-984,-3608,4818
-988,-3272,4834
-952,-2868,4967
-780,-2374,4998
-716,-1966,5093
-448,-1688,5393
-220,-1338,5647
72,-1062,5800
410,-864,5949
808,-678,6155
1276,-538,6033
1784,-472,5720
2332,-602,5301
2956,-906,4995
3412,-1182,4726
3782,-1534,4597
3918,-1988,4344
3904,-2644,3904
3662,-3506,3557
3080,-4210,3369
2412,-4520,3264
1620,-4236,3178
842,-3990,3284
260,-3934,3624
-86,-4102,3882
22,-4462,3910
352,-4838,3843
764,-5164,3786
1356,-5126,3656
1970,-5014,3428
2626,-4630,3317
3284,-4536,3491
3810,-4400,3786
4270,-4324,4130
4602,-4400,4853
4830,-4340,5440
4970,-4020,6065
4958,-3692,6316
4946,-3336,6478
4852,-2930,6679
4664,-2438,6681
4484,-1960,6727
4200,-1780,6969
3958,-1704,7416
3540,-1446,7591
3046,-1244,7730
2698,-1150,7662
2228,-942,7601
1780,-934,7646
1224,-798,7198
728,-796,6872
344,-872,6569
-88,-1066,5790
-342,-1536,5177
-492,-2108,4697
-538,-2810,4176
-380,-3530,3951
-6,-3820,3712
550,-4340,3512
1134,-4816,3430
1124,-4352,3317
924,-4532,3368
598,-4456,3510
-6,-4408,3887
-418,-4070,4177
-702,-3606,4512
-926,-3538,4785
-1062,-3174,5174
-1086,-2726,5564
-988,-2500,5704
-986,-2278,5888
-858,-2088,5853
-764,-1882,5673
-656,-1722,5589
-424,-1490,5528
-230,-1374,5387
-110,-1394,4999
-166,-1682,4632
-112,-1774,4469
158,-1688,4314
426,-1656,4160
666,-1598,4024
930,-1646,3880
1242,-1712,3670
1412,-1970,3449
1438,-2130,3473
1628,-1758,3566
1716,-1852,3519
1754,-2278,3359
1814,-2450,3289
1730,-2774,3113
1652,-2964,3121
1724,-2500,3204
1712,-2434,3256
1718,-2414,3231
1704,-2424,3255
1832,-2424,3279
1884,-2602,3119
